assignee,dt,asset_provider_name,asset_name,disposer_name,n_case,n_dt,assign_amt_principal,repaid_amt
,2022-06-01,挖财普惠,普惠资产,AMD_一兆米,489,1,826304.1700000003,
,2022-06-01,WANGTUNORG,正钇资产包,自清收-信修,14,1,8400.0,
,2022-06-01,WACAI,力蕴资产,C-新浪诉调,29,1,408086.53,
,2022-06-01,挖财,信喜资产,海口法院,153,1,2761465.9699999997,
,2022-06-01,挖财,信喜资产,智能法诉平台-麒麟,2637,1,2.004338777E7,
,2022-06-01,挖财普惠,普惠资产,AMD_停催,290,1,321370.48000000033,
,2022-06-01,挖财普惠,普惠资产,惠今,1495,1,1961486.4299999997,
,2022-06-01,挖财普惠,普惠资产,A-棣增-WW,11,1,14713.970000000001,
,2022-06-01,WACAI,普惠资产,固安玖盛,1,1,8039.48,
,2022-06-01,PH,普惠资产,A-棣增-WW,3,1,4360.25,
,2022-06-01,挖财,信喜资产,柴桑调解中心,1486,1,4588518.63,
,2022-06-01,力蕴,HUACHANG,聚宝,1475,1,7.481576995000003E7,
,2022-06-01,挖财,信喜资产,AMD_君杰辉,46,1,73433.95000000001,
,2022-06-01,挖财,信喜资产,AMD_梓榇,96,1,193971.56999999998,
,2022-06-01,挖财普惠,普惠资产,A-湖南嘉亿-WW,1,1,461.81,
,2022-06-01,挖财普惠,普惠资产,聚宝-西湖,6,1,49668.86,
,2022-06-01,美利,有用资产,A-鼎锐-WW,1,1,2820.5,
,2022-06-01,信用家,信用家资产,平顶山星灿商贸有限公司-ww,1,1,22506.97,
,2022-06-01,挖财,信喜资产,邯郸,2,1,22800.0,
,2022-06-01,普惠达飞,平安普惠立信达飞资产包,AMD_垚鑫众,3,1,18000.0,
,2022-06-01,挖财普惠,普惠资产,A-新联康-WW,1,1,1150.6,
,2022-06-01,挖财,信喜资产,A-鼎晟世纪-WW,1,1,833.33,
,2022-06-01,挖财普惠,普惠资产,A-湖南京希-WW,2,1,1537.77,
,2022-06-01,WACAI,普惠资产,A-湖南嘉亿-WW,1,1,1832.36,
,2022-06-01,还呗,2021还呗资产包合作项目2.0,AMD_停催,2,1,8100.6,
,2022-06-01,挖财普惠,普惠资产,AMD_杰宽_XH,8,1,12157.15,
,2022-06-01,信喜,信喜资产,AMD_柏胜,2,1,15432.45,
,2022-06-01,美利,有用资产,A-信业长青-WW,3,1,9554.65,
,2022-06-01,挖财,信喜资产,A-新联康-WW,7,1,16984.51,
,2022-06-01,美利,有用资产,惠今,3,1,12253.66,
,2022-06-01,信用家,信用家资产,安徽冠弘,3,1,21708.079999999998,
,2022-06-01,普惠达飞,平安普惠立信达飞资产包,安徽冠弘,6,1,43883.62,
,2022-06-01,美利,有用资产,聚宝-西湖,6,1,32662.08,
,2022-06-01,PH,普惠资产,A-新联康-WW,4,1,4551.8,
,2022-06-01,PH,普惠资产,A-安徽晟鑫-WW,1,1,1277.44,
,2022-06-01,WACAI,首信资产,青岛掌讯通,1,1,6912.25,
,2022-06-01,方舟,信喜资产,海阳市法院-上海百亨-崇嵘科技,1,1,16727.26,
AHGHzhangling,2022-06-01,WACAI,首信资产,安徽冠弘,5,1,116597.68000000001,
AHGHzhangling,2022-06-01,WACAI,力蕴资产,安徽冠弘,13,1,153936.0,
AHSXduwanmin,2022-06-01,挖财普惠,普惠资产,A-安徽晟鑫-WW,1137,1,2755654.9599999995,
AHSXduwanmin,2022-06-01,PH,普惠资产,A-安徽晟鑫-WW,679,1,1641488.9,
AHSXduwanmin,2022-06-01,WACAI,普惠资产,A-安徽晟鑫-WW,748,1,1624854.2,
AHSXhanzhanrui,2022-06-01,美利,有用资产,A-安徽晟鑫-WW,2327,1,5885935.699999999,1500.0
AHSXlixin,2022-06-01,美利,有用资产,A-安徽晟鑫-WW,2345,1,5812593.539999998,2150.0
AHSXmapeng,2022-06-01,WACAI,普惠资产,A-安徽晟鑫-WW,758,1,1819747.3699999999,
AHSXmapeng,2022-06-01,PH,普惠资产,A-安徽晟鑫-WW,661,1,1517854.8499999996,
AHSXmapeng,2022-06-01,挖财普惠,普惠资产,A-安徽晟鑫-WW,1142,1,2738150.5100000002,
AHSXtaozhang,2022-06-01,美利,有用资产,A-安徽晟鑫-WW,2316,1,5885429.169999999,
AHSXwangkai,2022-06-01,美利,有用资产,A-安徽晟鑫-WW,2347,1,5892403.389999997,2589.0
AHSXwangyuebo,2022-06-01,PH,普惠资产,A-安徽晟鑫-WW,659,1,1615202.05,
AHSXwangyuebo,2022-06-01,WACAI,普惠资产,A-安徽晟鑫-WW,799,1,1843542.2499999998,
AHSXwangyuebo,2022-06-01,挖财普惠,普惠资产,A-安徽晟鑫-WW,1072,1,2548303.349999999,
AHSXwangzexian,2022-06-01,美利,有用资产,A-安徽晟鑫-WW,2488,1,5974944.69,
AHSXzhangbaocheng,2022-06-01,PH,普惠资产,A-安徽晟鑫-WW,692,1,1675503.3399999996,
AHSXzhangbaocheng,2022-06-01,WACAI,普惠资产,A-安徽晟鑫-WW,760,1,1674617.95,
AHSXzhangbaocheng,2022-06-01,挖财普惠,普惠资产,A-安徽晟鑫-WW,1102,1,2750956.9799999995,
AHSXzhangcheng,2022-06-01,美利,有用资产,A-安徽晟鑫-WW,2321,1,5881966.969999998,
AHSXzhanglei,2022-06-01,美利,有用资产,A-安徽晟鑫-WW,2300,1,5757150.32,
AHSXzhanglong,2022-06-01,美利,有用资产,A-安徽晟鑫-WW,2408,1,5984178.410000001,
AHSXzhangyafeng,2022-06-01,WACAI,普惠资产,A-安徽晟鑫-WW,836,1,1824285.7199999997,
AHSXzhangyafeng,2022-06-01,PH,普惠资产,A-安徽晟鑫-WW,742,1,1766857.23,
AHSXzhangyafeng,2022-06-01,挖财普惠,普惠资产,A-安徽晟鑫-WW,1241,1,2861666.8799999994,
BSchenduanxin,2022-06-01,挖财,信喜资产,AMD_柏胜,2485,1,5106046.180000001,
BSchenduanxin,2022-06-01,信喜,信喜资产,AMD_柏胜,8,1,66720.82999999999,
BSdairong,2022-06-01,信喜,信喜资产,AMD_柏胜,12,1,106322.32,
BSdairong,2022-06-01,挖财,信喜资产,AMD_柏胜,2479,1,5087113.19,
BSguolijuan,2022-06-01,挖财,信喜资产,AMD_柏胜,2462,1,5172121.53,
